SKU,Name1,Name2
SKU20240416_204504_THOU SHALL NOT TRY ME,THOU SHALL,NOT TRY ME
SKU20240416_204505_YOU CANT SCARE ME IM A TEACHER,YOU CAN'T SCARE ME,I'M A TEACHER
SKU20240416_204506_POSITIVITY IS A CHOICE,POSITIVITY IS,A CHOICE
SKU20240416_204507_DONT TRUST ANYONE,DON'T TRUST,ANYONE
SKU20240416_204508_I HATE MY EX WIFE,I HATE MY,EX WIFE
SKU20240416_204509_DREAM BIG NEVER QUIT,DREAM BIG,NEVER QUIT
SKU20240416_204510_GO KNIGHTS CHARGE ON,GO KNIGHTS,CHARGE ON
SKU20240416_204511_THERE IS NO SUBSTITUTE FOR HARD WORK,THERE IS NO,SUBSTITUTE FOR HARD WORK
SKU20240416_204512_I DONT RISE AND SHINE I CAFFEINATE AND HOPE FOR THE BEST,I DON'T RISE AND SHINE I,CAFFEINATE AND HOPE FOR THE BEST
SKU20240416_204513_I TAUGHT YOUR GIRLFRIEND THAT THING YOU LIKE,I TAUGHT YOUR GIRLFRIEND,THAT THING YOU LIKE
SKU20240416_204514_ANTI SOCIAL MOMS CLUB,ANTI SOCIAL,MOMS CLUB
SKU20240416_204515_WE ARE ALL STORIES IN THE END,WE ARE ALL,STORIES IN THE END
SKU20240416_204516_ALWAYS STAY HUMBLE & KIND,ALWAYS STAY,HUMBLE & KIND
SKU20240416_204517_IM NOT A REGULAR MOM IM A COOL MOM,I'M NOT A REGULAR,MOM I'M A COOL MOM
SKU20240416_204518_BE THE CHANGE,BE THE,CHANGE
SKU20240416_204519_IM NOT CRAZY MY REALITY IS JUST DIFFERENT THAN YOURS,I'M NOT CRAZY. MY REALITY IS,JUST DIFFERENT THAN YOURS
SKU20240416_204521_ACT JUSTLY LOVE MERCY WALK HUMBLY,"ACT JUSTLY, LOVE","MERCY, WALK HUMBLY"
SKU20240416_204522_HANG ON LET ME OVERTHINK THIS,HANG ON LET ME,OVERTHINK THIS
SKU20240416_204523_IM NOT INCLINED TO RESIGN TO MATURITY,I'M NOT INCLINED TO,RESIGN TO MATURITY
