SKU,Name1,Name2
SKU20240417_075435_WE ARE THE WEIRDOS,WE ARE THE,WEIRDOS
SKU20240417_075436_COOL MOTIVE STILL MURDER,"COOL MOTIVE,",STILL MURDER
SKU20240417_075437_IT IS WEDNESDAY MY DUDES,IT IS,WEDNESDAY MY DUDES
SKU20240417_075438_GET BUSY LIVING OR GET BUSY DYING,GET BUSY LIVING OR,GET BUSY DYING
SKU20240417_075439_LIFES TOUGH WEAR A HELMET,LIFE'S TOUGH.,WEAR A HELMET
SKU20240417_075440_YOU ARE NOT ALONE,YOU ARE,NOT ALONE
SKU20240417_075441_NO ONE IS ILLEGAL ON STOLEN LAND,NO ONE IS ILLEGAL,ON STOLEN LAND
SKU20240417_075442_MAKE AMERICA GRATEFUL AGAIN,MAKE AMERICA,GRATEFUL AGAIN
SKU20240417_075443_EMBRACE THE SUCK,EMBRACE,THE SUCK
SKU20240417_075444_IM JUST A LITTLE COOLER,I'M JUST A,LITTLE COOLER
SKU20240417_075445_THINK THIS IS SLOW WAIT UNTIL I GO UPHIL,THINK THIS IS SLOW,WAIT UNTIL I GO UPHIL
SKU20240417_075446_CRIMINALIZE LED HEADLIGHTS,CRIMINALIZE LED,HEADLIGHTS
SKU20240417_075447_IT WAS ME I LET THE DOGS OUT,IT WAS ME I LET,THE DOGS OUT
SKU20240417_075448_LIVE LAUGH TOASTER BATH,LIVE LAUGH,TOASTER BATH
SKU20240417_075449_NORMALIZE TURN SIGNALS,NORMALIZE,TURN SIGNALS
SKU20240417_075450_YEAH BUDDY,"YEAH,",BUDDY
SKU20240417_075451_YOU JUST GOT PASSED BY A GIRL,YOU JUST GOT,PASSED BY A GIRL
SKU20240417_075453_STOP PRETENDING YOUR RACISM IS PATRIOTISM,STOP PRETENDING YOUR,RACISM IS PATRIOTISM
SKU20240417_075454_REAL MEN LOVE JESUS,REAL MEN,LOVE JESUS
SKU20240417_075455_HUMAN + KIND BE BOTH,HUMAN +,"KIND, BE BOTH"
SKU20240417_075456_SCREW YOU GUYS IM GOING HOME,SCREW YOU GUYS!,I'M GOING HOME
SKU20240417_075457_NO SOUP FOR YOU,NO SOUP,FOR YOU
SKU20240417_075458_SAVE GAS WALK WITH JESUS,SAVE GAS WALK,WITH JESUS
SKU20240417_075459_ANOTHER DAY ANOTHER SLAY,ANOTHER DAY,ANOTHER SLAY
SKU20240417_075500_IN MY DEFENSE I WAS LEFT UNSUPERVISED,"IN MY DEFENSE, I WAS",LEFT UNSUPERVISED
SKU20240417_075501_HEALING IS NOT LINEAR,HEALING IS,NOT LINEAR
SKU20240417_075502_REMEMBER WHY YOU STARTED,REMEMBER WHY,YOU STARTED
SKU20240417_075503_JUST KEEP SWIMMING,JUST KEEP,SWIMMING
SKU20240417_075504_ADVENTURE IS OUT THERE,ADVENTURE IS,OUT THERE
SKU20240417_075505_MANIFEST THAT SHIT,MANIFEST,THAT SHIT
SKU20240417_075506_WORK HARD AND BE NICE TO PEOPLE,WORK HARD AND BE,NICE TO PEOPLE
SKU20240417_075507_YOURE DOING GREAT BITCH,YOU'RE DOING,GREAT BITCH
SKU20240417_075508_IN THE END WE ALL BECOME STORIES,"IN THE END, WE ALL",BECOME STORIES
SKU20240417_075509_WOMEN DONT OWE YOU SHIT,WOMEN DON'T,OWE YOU SHIT
SKU20240417_075510_LONG LIVE ALL THE MAGIC WE MADE,LONG LIVE ALL THE,MAGIC WE MADE
SKU20240417_075511_TODAY IS BEAUTIFUL AND IT IS YOURS,TODAY IS BEAUTIFUL,AND IT IS YOURS
SKU20240417_075512_BE KIND ANYWAY,BE KIND,ANYWAY
SKU20240417_075513_PROGRESS OVER PERFECTION,PROGRESS OVER,PERFECTION
SKU20240417_075514_ITS ALL MADE UP WHITE,IT'S ALL MADE,UP WHITE
SKU20240417_075515_MAKE YOURSELF PROUD,MAKE,YOURSELF PROUD
SKU20240417_075516_NURSING IS A WORK OF HEART,NURSING IS A,WORK OF HEART
SKU20240417_075517_EAT MUSHROOMS SEE THE UNIVERSE,EAT MUSHROOMS SEE,THE UNIVERSE
SKU20240417_075518_BE PROUD OF WHO YOU ARE,BE PROUD OF,WHO YOU ARE
SKU20240417_075519_ILL GET OVER IT I JUST NEED TO BE DRAMATIC FIRST,I'LL GET OVER IT I JUST,NEED TO BE DRAMATIC FIRST
SKU20240417_075520_I LOVE MENTALLY UNSTABLE WOMEN,I LOVE MENTALLY,UNSTABLE WOMEN
SKU20240417_075521_EMBRACE THE SUCK,EMBRACE,THE SUCK
SKU20240417_075522_SPEAK THE TRUTH EVEN IF YOUR VOICE SHAKES,"SPEAK THE TRUTH, EVEN",IF YOUR VOICE SHAKES
SKU20240417_075523_I CREATE MY OWN SAFE PLACE,I CREATE MY OWN,SAFE PLACE
SKU20240417_075524_LETS EAT TRASH AND GET HIT BY CAR,LET'S EAT TRASH AND,GET HIT BY CAR
SKU20240417_075525_IM MORE MEXICAN THAN I LOOK,I'M MORE MEXICAN,THAN I LOOK
SKU20240417_075526_SORRY IM LATE I DIDNT TO COME,SORRY I'M LATE I,DIDN'T TO COME
SKU20240417_075527_EVERYTHING HAPPENS FOR A REASON,EVERYTHING,HAPPENS FOR A REASON
SKU20240417_075528_RUN LIKE A GIRL,RUN LIKE,A GIRL
