SKU,Name1,Name2
SKU20240424_091825_I HAVE TO HAVE MY TOOLS,I HAVE TO HAVE,MY TOOLS!
SKU20240424_091826_ANOTHER FINE DAY RUINED BY RESPONSIBILITY,ANOTHER FINE DAY,RUINED BY RESPONSIBILITY
SKU20240424_091827_JUST A GIRL WHO LOVES HOT DOGS,JUST A GIRL WHO,LOVES HOT DOGS
SKU20240424_091828_MY LIFE IS A MESS,MY LIFE IS,A MESS
SKU20240424_091829_WORLDS OKAYEST VET,WORLD'S,OKAYEST VET
SKU20240424_091830_HAVE COURAGE AND BE KIND,HAVE COURAGE,AND BE KIND
SKU20240424_091831_DONT LIE TO ME,DON'T LIE,TO ME
SKU20240424_091832_SCREW YOUR LAB SAFETY I WANT SUPER POWERS,"SCREW YOUR LAB SAFETY,",I WANT SUPER POWERS
SKU20240424_091833_PLOT PLAN STRATEGIZE ORGANIZE MOBILIZE,PLOT PLAN STRATEGIZE,ORGANIZE MOBILIZE
SKU20240424_091834_I THINK THE POETS MIGHT DISAGREE,I THINK THE POETS,MIGHT DISAGREE
SKU20240424_091835_WORLDS OKAYEST AUNT,WORLD'S,OKAYEST AUNT
SKU20240424_091836_SORRY IM LATE I DIDNT WANT TO COME,SORRY I'M LATE I,DIDN'T WANT TO COME
SKU20240424_091837_OH I'M NOT A DOCTOR,OH I'M NOT,A DOCTOR
SKU20240424_091838_DO OR DO NOT THERE IS NO TRY,DO OR DO NOT,THERE IS NO TRY
SKU20240424_091839_I RUN BECAUSE I REALLY LIKE WINE,I RUN BECAUSE I,REALLY LIKE WINE
SKU20240424_091840_I BECAME A LANDSCAPER FOR THE MONEY AND FAME,I BECAME A LANDSCAPER,FOR THE MONEY AND FAME
SKU20240424_091841_JUST A BOY WHO LOVES LEMUR,JUST A BOY WHO,LOVES LEMUR
SKU20240424_091842_HONK IF YOURE IN A STATE OF PANIC,HONK IF YOU'RE IN A,STATE OF PANIC
SKU20240424_091843_YOUR DIRECTION IS MORE IMPORTANT THAN SPEED,YOUR DIRECTION IS MORE,IMPORTANT THAN SPEED
SKU20240424_091844_ID RATHER BE MAKING SAW DUST,I'D RATHER BE,MAKING SAW DUST
SKU20240424_091845_DAYS THAT BREAK YOU,DAYS THAT,BREAK YOU
SKU20240424_091846_I BECAME A FARM LABORER FOR THE MONEY AND FAME,I BECAME A FARM LABORER,FOR THE MONEY AND FAME
SKU20240424_091847_BABY DONT GET GREEDY,"BABY, DON'T",GET GREEDY
SKU20240424_091848_SORRY IM LATE I HAD TO POOP,SORRY I'M LATE I,HAD TO POOP
SKU20240424_091849_WORLDS OKAYEST SOFTWARE TESTER,WORLD'S OKAYEST,SOFTWARE TESTER
SKU20240424_091850_I RUN BECAUSE I REALLY LIKE DESSERT,I RUN BECAUSE I,REALLY LIKE DESSERT
SKU20240424_091851_DONT PANIC OK PANIC,DON'T PANIC!,OK.. PANIC
SKU20240424_091852_WE ARE BEST FRIENDS BECAUSE EVERYONE ELSE SUCKS,WE ARE BEST FRIENDS,BECAUSE EVERYONE ELSE SUCKS!
SKU20240424_091853_KILL THEM WITH KINDNESS,KILL THEM,WITH KINDNESS
SKU20240424_091854_IF YOU AINT FIRST YOURE LAST,IF YOU AIN'T,FIRST YOU'RE LAST
SKU20240424_091855_I BECAME A GROCERY BAGGER FOR THE MONEY AND FAME,I BECAME A GROCERY BAGGER,FOR THE MONEY AND FAME
SKU20240424_091856_ONE DAY AT A TIME,ONE DAY AT,A TIME
SKU20240424_091857_DREAM UP SOMETHING WILD AND IMPROBABLE,DREAM UP SOMETHING,WILD AND IMPROBABLE
