SKU,Name1,Name2
ST20240421_210829_JUST A GIRL WHO LOVES JOURNALING,JUST A GIRL WHO,LOVES JOURNALING
ST20240421_210830_HONK AT THE MOON,HONK AT,THE MOON
ST20240421_210831_LIFE IS TOUGH BUT SO ARE YOU,LIFE IS TOUGH,BUT SO ARE YOU
ST20240421_210832_I JUST DIDN'T WANT TO LOSE YOU,I JUST DIDN'T,WANT TO LOSE YOU
ST20240421_210833_TELL YOUR DOG I SAID HI,TELL YOUR DOG,I SAID HI
ST20240421_210835_JUST FOUND OUT THE WORLD DOESNT REVOLVE AROUND ME,JUST FOUND OUT THE WORLD,DOESN'T REVOLVE AROUND ME
ST20240421_210836_SO YOU FIGHT UNTIL YOU CANT FIGHT ANYMORE,SO YOU FIGHT UNTIL YOU,CAN'T FIGHT ANYMORE
ST20240421_210837_FAMILY DONT END IN BLOOD,FAMILY DON'T,END IN BLOOD
ST20240421_210838_DONT MAKE ME USE MY DRAMA TEACHER VOICE,DON'T MAKE ME USE MY,DRAMA TEACHER VOICE
ST20240421_210839_PLEASE BE PATIENT IM MUCKING THINGS UP,PLEASE BE PATIENT I'M,MUCKING THINGS UP
ST20240421_210840_JUST A GIRL WHO LOVES OLIVES,JUST A GIRL WHO,LOVES OLIVES
ST20240421_210841_BE THE FULLEST VERSION OF YOU,BE THE FULLEST,VERSION OF YOU
ST20240421_210842_THE ONLY WAY OUT IS THROUGH,THE ONLY WAY,OUT IS THROUGH
ST20240421_210843_I RUN BECAUSE I REALLY LIKE PIZZA,I RUN BECAUSE I,REALLY LIKE PIZZA
ST20240421_210844_WORLDS OKAYEST PLUMBER,WORLD'S,OKAYEST PLUMBER
ST20240421_210845_WORLDS OKAYEST PIPEFITTER,WORLD'S OKAYEST,PIPEFITTER
ST20240421_210846_I RUN BECAUSE PUNCHING PEOPLE IS FROWNED UPON,I RUN BECAUSE PUNCHING,PEOPLE IS FROWNED UPON
ST20240421_210847_BUT MY MOM SAYS IM COOL,BUT MY MOM,SAYS I'M COOL
ST20240421_210848_I'M NOT LIKE OTHER GIRLS I'M WORSE,I'M NOT LIKE OTHER,GIRLS I'M WORSE
ST20240421_210849_DONT BRING AN UMBRELLA TO A BRAINSTORM,DON'T BRING AN,UMBRELLA TO A BRAINSTORM
ST20240421_210850_JUST A GIRL WHO LOVES SLEEPING,JUST A GIRL WHO,LOVES SLEEPING
ST20240421_210851_ITS A GOOD DAY TO BE HAPPY,IT'S A GOOD DAY,TO BE HAPPY
ST20240421_210852_I LIKE BIG BOOKS AND I CANNOT LIE,I LIKE BIG BOOKS,AND I CANNOT LIE
ST20240421_210853_IM NOT BOSSY IM THE BOSS,"I'M NOT BOSSY,",I'M THE BOSS
ST20240421_210854_I AM NOT HERE FOR BEER,I AM NOT HERE,FOR BEER
ST20240421_210855_IF YOU CAN DREAM IT YOU CAN DO IT,IF YOU CAN DREAM,IT YOU CAN DO IT
ST20240421_210856_WORLDS OKAYEST PILOT,WORLD'S,OKAYEST PILOT
ST20240421_210857_BREAD MAKES YOU FAT,BREAD MAKES,YOU FAT?
ST20240421_210858_CURLING IS THE BACON OF SPORTS,CURLING IS THE,BACON OF SPORTS
ST20240421_210859_HEY GIRL YOU SHOULD TAKE ATTENDANCE,"HEY GIRL, YOU SHOULD",TAKE ATTENDANCE
ST20240421_210900_THE BEST IS YET TO COME,THE BEST IS,YET TO COME
