SKU,Name1,Name2
SKU20240326_063332_WHAT GOES AROUND COMES AROUND,WHAT GOES AROUND,COMES AROUND
SKU20240326_063328_AT LEAST ALL THIS TRAUMA MADE ME HILARIOUS,AT LEAST ALL THIS,TRAUMA MADE ME HILARIOUS
SKU20240326_063323_YOURE GOING TO REAP WHAT YOU SOW,YOU'RE GOING TO,REAP WHAT YOU SOW
SKU20240326_063337_PAIN IS INEVITABLE SUFFERING IS OPTIONAL,"PAIN IS INEVITABLE,",SUFFERING IS OPTIONAL
SKU20240326_063325_DUST IN THE WIND,DUST IN,THE WIND
SKU20240320_061653_DADDYS MONEY BUT IM DADDY,DADDY'S MONEY,BUT I'M DADDY
SKU20240326_063317_MY FAVORITE PEOPLE CALL ME DAD,MY FAVORITE,PEOPLE CALL ME DAD
SKU20240326_063333_IM NOT JUDGING IM ASSESSING,I'M NOT JUDGING,I'M ASSESSING
SKU20240326_063324_SHIT COULD BE WORSE,SHIT COULD,BE WORSE
SKU20240326_063327_ONLY UGLY PEOPLE TAILGATE ME,ONLY UGLY PEOPLE,TAILGATE ME
SKU20240326_063320_SORRY OFFICER I THOUGHT YOU WANTED TO RACE,SORRY OFFICER I THOUGHT,YOU WANTED TO RACE
SKU20240326_063321_NEVER UNDERESTIMATE A GIRL WITH A HOCKEY,NEVER UNDERESTIMATE A,GIRL WITH A HOCKEY
SKU20240326_063334_NO EXCUSES JUST RESULTS,NO EXCUSES,JUST RESULTS
SKU20240326_063319_GODS CHILDREN ARE NOT FOR SALE,GOD'S CHILDREN,ARE NOT FOR SALE
SKU20240326_063318_I WORKOUT BECAUSE PUNCHING PEOPLE IS FROWNED UPON,I WORKOUT BECAUSE PUNCHING,PEOPLE IS FROWNED UPON
SKU20240326_063335_MAKE AMERICA DECENT AGAIN,MAKE AMERICA,DECENT AGAIN
SKU20240326_063336_ITS ONLY ILLEGAL IF YOU GET CAUGHT,IT'S ONLY ILLEGAL,IF YOU GET CAUGHT
SKU20240326_063331_LIFE IS SHORT AND SO AM I,LIFE IS SHORT,AND SO AM I
SKU20240326_063322_IM HERE TO LAY PIPE,I'M HERE TO,LAY PIPE!
SKU20240320_061647_WAG MORE BARK LESS,WAG MORE,BARK LESS
