SKU,Name1,Name2
SKU20240425_072421_ENGLISH IS IMPORTANT BUT GEOGRAPHY IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,GEOGRAPHY IS IMPORTANTER
SKU20240425_072422_ENGLISH IS IMPORTANT BUT CHEMISTRY IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,CHEMISTRY IS IMPORTANTER
SKU20240425_072423_ENGLISH IS IMPORTANT BUT MATH IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,MATH IS IMPORTANTER
SKU20240425_072424_ENGLISH IS IMPORTANT BUT PHYSICS IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,PHYSICS IS IMPORTANTER
SKU20240425_072425_ENGLISH IS IMPORTANT BUT ENGINEERING IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,ENGINEERING IS IMPORTANTER
SKU20240425_072426_ENGLISH IS IMPORTANT BUT GAMING IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,GAMING IS IMPORTANTER
SKU20240425_072427_ENGLISH IS IMPORTANT BUT SCIENCE IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,SCIENCE IS IMPORTANTER
SKU20240425_072428_ENGLISH IS IMPORTANT BUT HISTORY IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,HISTORY IS IMPORTANTER
SKU20240425_072429_ENGLISH IS IMPORTANT BUT SLEEP IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,SLEEP IS IMPORTANTER
SKU20240425_072430_ENGLISH IS IMPORTANT BUT WRITING IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,WRITING IS IMPORTANTER
SKU20240425_072432_ENGLISH IS IMPORTANT BUT PAINTING IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,PAINTING IS IMPORTANTER
SKU20240425_072433_ENGLISH IS IMPORTANT BUT FARMING IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,FARMING IS IMPORTANTER
SKU20240425_072434_ENGLISH IS IMPORTANT BUT PHOTOGRAPHY IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,PHOTOGRAPHY IS IMPORTANTER
SKU20240425_072435_ENGLISH IS IMPORTANT BUT SKIING IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,SKIING IS IMPORTANTER
SKU20240425_072436_ENGLISH IS IMPORTANT BUT INSTRUMENTAL MUSIC IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,INSTRUMENTAL MUSIC IS IMPORTANTER
SKU20240425_072437_ENGLISH IS IMPORTANT BUT MUSIC IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,MUSIC IS IMPORTANTER
SKU20240425_072438_ENGLISH IS IMPORTANT BUT ASTRONOMY IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,ASTRONOMY IS IMPORTANTER
SKU20240425_072439_ENGLISH IS IMPORTANT BUT HEALTH IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,HEALTH IS IMPORTANTER
SKU20240425_072440_ENGLISH IS IMPORTANT BUT DANCE IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,DANCE IS IMPORTANTER
SKU20240425_072441_ENGLISH IS IMPORTANT BUT PE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PE IS IMPORTANTER
SKU20240425_072442_ENGLISH IS IMPORTANT BUT CHEMICAL ENGINEERING IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,CHEMICAL ENGINEERING IS IMPORTANTER
SKU20240425_072443_ENGLISH IS IMPORTANT BUT COMEDY IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,COMEDY IS IMPORTANTER
