SKU,Name1,Name2
SKU20240505_124555_THIS IS MY EMOTIONAL SUPPORT KINDLE,THIS IS MY,EMOTIONAL SUPPORT KINDLE
SKU20240505_124556_HELLO I AM TIRED,"HELLO, I",AM TIRED
SKU20240505_124557_HELLO IM TRYING MY BEST,"HELLO, I'M",TRYING MY BEST
SKU20240505_124558_I DRINK AND I KNOW THINGS,I DRINK AND I,KNOW THINGS
SKU20240505_124559_FIRST I DRINK THE COFFEE THEN I DO THE THINGS,FIRST I DRINK THE COFFEE,THEN I DO THE THINGS
SKU20240505_124601_I DONT ALWAYS WHOOP BUT WHEN I DO THERE IT IS,I DON'T ALWAYS WHOOP BUT,WHEN I DO THERE IT IS
SKU20240505_124602_I HAVE KIDS PARKS TOO CLOSE AND THEY WILL DING YOUR SHIT,I HAVE KIDS PARKS TOO CLOSE,AND THEY WILL DING YOUR SHIT
SKU20240505_124603_DONT PARK TOO CLOSE IM CHUNKY,DON'T PARK TOO,CLOSE I'M CHUNKY
SKU20240505_124604_IF YOU GET ANY CLOSER ILL FART,IF YOU GET ANY,CLOSER I'LL FART
SKU20240505_124605_WORRY ABOUT NOTHING PRAY ABOUT EVERYTHING,WORRY ABOUT NOTHING,PRAY ABOUT EVERYTHING
SKU20240505_124606_OF COURSE I TALK TO MYSELF I NEED EXPERT ADVICE,OF COURSE I TALK TO,MYSELF I NEED EXPERT ADVICE
SKU20240505_124607_SORRY I'M ALL BOOKED UP,SORRY I'M,ALL BOOKED UP
SKU20240505_124608_I LOVE MY SEXY WIFE,I LOVE MY,SEXY WIFE
SKU20240505_124609_I LOVE MY WIFE,I LOVE MY,WIFE
SKU20240505_124610_IM TRYING BUT IM VERY TIRED,I'M TRYING BUT,I'M VERY TIRED
SKU20240505_124611_YOU HAD ME AT TRIGGER WARNING,YOU HAD ME AT,TRIGGER WARNING
SKU20240505_124612_EMOTIONAL SUPPORT COWORKER,EMOTIONAL,SUPPORT COWORKER
SKU20240505_124613_IM TOO CLUMSY TO BE AROUND FRAGILE MASCULINITY,I'M TOO CLUMSY TO BE,AROUND FRAGILE MASCULINITY
SKU20240505_124614_EMOTIONAL SUPPORT ANIMAL,EMOTIONAL,SUPPORT ANIMAL
SKU20240505_124615_MY DOCTOR SAID I NEED GLASSES,MY DOCTOR SAID I,NEED GLASSES
SKU20240505_124616_EMOTIONAL SUPPORT HUMAN DO NOT PET,EMOTIONAL SUPPORT,HUMAN DO NOT PET
SKU20240505_124617_I LOVE MY SMOKIN HOT WIFE,I LOVE MY,SMOKIN HOT WIFE
SKU20240505_124618_I LOVE MY HOT WIFE,I LOVE MY,HOT WIFE
SKU20240505_124619_I LOVE MY AWESOME WIFE,I LOVE MY,AWESOME WIFE
SKU20240505_124620_I LOVE MY AWESOME HUSBAND,I LOVE MY,AWESOME HUSBAND
SKU20240505_124621_GET OFF MY ASS IM NOT YOUR WIFE,GET OFF MY ASS I'M,NOT YOUR WIFE
SKU20240505_124622_MY MOM SAID I CANT SPEED,MY MOM SAID I,CAN'T SPEED
SKU20240505_124623_SORRY MY MOM SAID NO SPEEDING,"SORRY, MY MOM",SAID NO SPEEDING
SKU20240505_124624_YES I AM A BITCH JUST NOT YOURS,"YES, I AM A BITCH",JUST NOT YOURS
