SKU,Name1,Name2
SKU20240520_105239_CAN WE FIX IT NO ITS FUCKED,CAN WE FIX IT?,"NO, IT'S FUCKED"
SKU20240520_105240_IM NOT ALWAYS A DICK JUST KIDDING GO FUCK YOURSELF,I'M NOT ALWAYS A DICK JUST,KIDDING GO FUCK YOURSELF
SKU20240520_105241_YEAH IM A BITCH JUST NOT YOURS,"YEAH I'M A BITCH,",JUST NOT YOURS
SKU20240520_105242_FUCK AROUND AND FIND OUT,FUCK AROUND,AND FIND OUT
SKU20240520_105243_WHY DONT YOU PLAY HIDE & GO FUCK YOURSELF,WHY DON'T YOU PLAY HIDE,& GO FUCK YOURSELF
SKU20240520_105244_I AM LITTLE HIGH MAINTENANCE,I AM LITTLE HIGH,MAINTENANCE
SKU20240520_105245_HONK IF YOURE A SINGLE AND FORKLIFT CERTIFIED,HONK IF YOU'RE A SINGLE,AND FORKLIFT CERTIFIED
SKU20240520_105246_HEY GIRLS IM FORKLIFT CERTIFIED,HEY GIRLS I'M,FORKLIFT CERTIFIED
SKU20240520_105247_FORKLIFT CERTIFIED,FORKLIFT,CERTIFIED
SKU20240520_105248_I AM THE VETERAN NOT THE VETERANS WIFE,I AM THE VETERAN NOT,THE VETERAN'S WIFE
SKU20240520_105249_I USED TO BE A PEOPLE PERSON BUT PEOPLE RUINED THAT FOR ME,I USED TO BE A PEOPLE PERSON,BUT PEOPLE RUINED THAT FOR ME
SKU20240520_105250_THROW BREAD ON ME,THROW,BREAD ON ME
SKU20240520_105251_A NATION OF SHEEP WILL BEGET GOVERNMENT OF WOLVES,A NATION OF SHEEP WILL,BEGET GOVERNMENT OF WOLVES
SKU20240520_105252_TOO STUPID TO UNDERSTAND SCIENCE THEN TRY RELIGION,TOO STUPID TO UNDERSTAND,"SCIENCE, THEN TRY RELIGION"
SKU20240520_105253_DO I LOOK LIKE A FREAKIN PEOPLE PERSON,DO I LOOK LIKE A,FREAKIN PEOPLE PERSON
SKU20240520_105254_THIS IS MY EMOTIONAL SUPPORT KINDLE,THIS IS MY,EMOTIONAL SUPPORT KINDLE
SKU20240520_105255_HELLO I AM TIRED,"HELLO, I",AM TIRED
SKU20240520_105256_HELLO IM TRYING MY BEST,"HELLO, I'M",TRYING MY BEST
SKU20240520_105257_I DRINK AND I KNOW THINGS,I DRINK AND I,KNOW THINGS
SKU20240520_105258_FIRST I DRINK THE COFFEE THEN I DO THE THINGS,FIRST I DRINK THE COFFEE,THEN I DO THE THINGS
SKU20240520_105259_I DONT ALWAYS WHOOP BUT WHEN I DO THERE IT IS,I DON'T ALWAYS WHOOP BUT,WHEN I DO THERE IT IS
SKU20240520_105300_I HAVE KIDS PARKS TOO CLOSE AND THEY WILL DING YOUR SHIT,I HAVE KIDS PARKS TOO CLOSE,AND THEY WILL DING YOUR SHIT
SKU20240520_105302_DONT PARK TOO CLOSE IM CHUNKY,DON'T PARK TOO,CLOSE I'M CHUNKY
SKU20240520_105303_IF YOU GET ANY CLOSER ILL FART,IF YOU GET ANY,CLOSER I'LL FART
SKU20240520_105304_WORRY ABOUT NOTHING PRAY ABOUT EVERYTHING,WORRY ABOUT NOTHING,PRAY ABOUT EVERYTHING
SKU20240520_105305_OF COURSE I TALK TO MYSELF I NEED EXPERT ADVICE,OF COURSE I TALK TO,MYSELF I NEED EXPERT ADVICE
SKU20240520_105306_SORRY I'M ALL BOOKED UP,SORRY I'M,ALL BOOKED UP
SKU20240520_105307_I LOVE MY SEXY WIFE,I LOVE MY,SEXY WIFE
SKU20240520_105308_I LOVE MY WIFE,I LOVE MY,WIFE
SKU20240520_105309_IM TRYING BUT IM VERY TIRED,I'M TRYING BUT,I'M VERY TIRED
SKU20240520_105310_YOU HAD ME AT TRIGGER WARNING,YOU HAD ME AT,TRIGGER WARNING
SKU20240520_105311_EMOTIONAL SUPPORT COWORKER,EMOTIONAL,SUPPORT COWORKER
SKU20240520_105312_IM TOO CLUMSY TO BE AROUND FRAGILE MASCULINITY,I'M TOO CLUMSY TO BE,AROUND FRAGILE MASCULINITY
SKU20240520_105313_EMOTIONAL SUPPORT ANIMAL,EMOTIONAL,SUPPORT ANIMAL
SKU20240520_105314_MY DOCTOR SAID I NEED GLASSES,MY DOCTOR SAID I,NEED GLASSES
SKU20240520_105315_EMOTIONAL SUPPORT HUMAN DO NOT PET,EMOTIONAL SUPPORT,HUMAN DO NOT PET
SKU20240520_105316_I LOVE MY SMOKIN HOT WIFE,I LOVE MY,SMOKIN HOT WIFE
SKU20240520_105317_I LOVE MY HOT WIFE,I LOVE MY,HOT WIFE
SKU20240520_105318_I LOVE MY AWESOME WIFE,I LOVE MY,AWESOME WIFE
SKU20240520_105319_I LOVE MY AWESOME HUSBAND,I LOVE MY,AWESOME HUSBAND
SKU20240520_105320_GET OFF MY ASS IM NOT YOUR WIFE,GET OFF MY ASS I'M,NOT YOUR WIFE
SKU20240520_105321_MY MOM SAID I CANT SPEED,MY MOM SAID I,CAN'T SPEED
SKU20240520_105322_SORRY MY MOM SAID NO SPEEDING,"SORRY, MY MOM",SAID NO SPEEDING
SKU20240520_105323_YES I AM A BITCH JUST NOT YOURS,"YES, I AM A BITCH",JUST NOT YOURS
