SKU,Name1,Name2
SKU20240528_214935_GET OFF MY ASS BEFORE I INFLATE YOUR AIRBAGS,GET OFF MY ASS BEFORE I,INFLATE YOUR AIRBAGS
SKU20240528_214936_DONT STEAL MY TOOLS I NEED THEM TO PAY YOUR BENEFITS,DON'T STEAL MY TOOLS I NEED,THEM TO PAY YOUR BENEFITS
SKU20240528_214937_NOTHING IN THIS CAR IS WORTH DYING FOR,NOTHING IN THIS CAR,IS WORTH DYING FOR
SKU20240528_214938_NOTHING IN THIS TRUCK IS WORTH DYING FOR,NOTHING IN THIS TRUCK,IS WORTH DYING FOR
SKU20240528_214939_NOTHING IN HERE IS WORTH DYING FOR,NOTHING IN HERE IS,WORTH DYING FOR
SKU20240528_214940_I BECAME A SANITATION WORKER FOR THE MONEY AND FAME,I BECAME A SANITATION,WORKER FOR THE MONEY AND FAME
SKU20240528_214941_YOU JUST GOT PASSED BY A BITCH,YOU JUST GOT,PASSED BY A BITCH
SKU20240528_214942_PLEASE BE PATIENT I HAVE CHRONIC PAIN,PLEASE BE PATIENT I,HAVE CHRONIC PAIN
SKU20240528_214943_PLEASE BE PATIENT I AM 4 YEARS OLD,PLEASE BE PATIENT I,AM 4 YEARS OLD
SKU20240528_214944_WORLDS OKAYEST CAT MUM,WORLD'S,OKAYEST CAT MUM
SKU20240528_214945_DONT STOP UNTIL YOU ARE PROUD,DONT STOP UNTIL,YOU ARE PROUD
SKU20240528_214946_JUST A GIRL WHO LOVES PICKLES,JUST A GIRL WHO,LOVES PICKLES
SKU20240528_214947_EXIT PURSUED BY A BEAR,"EXIT, PURSUED",BY A BEAR
SKU20240528_214948_YOU CAN NEVER HAVE TOO MANY GIRLFRIENDS,YOU CAN NEVER HAVE,TOO MANY GIRLFRIENDS
SKU20240528_214949_THE BOOK WAS BETTER,THE BOOK,WAS BETTER
SKU20240528_214950_JUST A BOY WHO LOVES CHICKEN,JUST A BOY WHO,LOVES CHICKEN
SKU20240528_214951_FIRST I DRINK THE COFFEE,FIRST I DRINK,THE COFFEE
SKU20240528_214952_SHE IS CLOTHED WITH DIGNITY AND STRENGTH,SHE IS CLOTHED WITH,DIGNITY AND STRENGTH
SKU20240528_214953_I BECAME A TEMP WORKER FOR THE MONEY AND FAME,I BECAME A TEMP WORKER,FOR THE MONEY AND FAME
SKU20240528_214954_YOU CAN NEVER HAVE TOO MANY CORNETS,YOU CAN NEVER HAVE,TOO MANY CORNETS
SKU20240528_214955_WORLDS OKAYEST MEDICAL STUDENT,WORLD'S OKAYEST,MEDICAL STUDENT
SKU20240528_214956_WORLDS OKAYEST SALE REPRESENTATIVE,WORLD'S OKAYEST,SALE REPRESENTATIVE
SKU20240528_214957_LIFE IS LIKE A CAMERA,LIFE IS LIKE,A CAMERA
SKU20240528_214958_YOURE SO GORGEOUS,YOU'RE SO,GORGEOUS
SKU20240528_214959_YOU AINT COOL UNLESS YOU PEE YOUR PANTS,YOU AINT COOL UNLESS,YOU PEE YOUR PANTS
SKU20240528_215000_LIFE HAPPENS COFFEE HELPS,"LIFE HAPPENS,",COFFEE HELPS
SKU20240528_215001_LET GO AND LET GOD,LET GO AND,LET GOD
SKU20240528_215002_I BECAME A WAREHOUSE PACKER FOR THE MONEY AND FAME,I BECAME A WAREHOUSE PACKER,FOR THE MONEY AND FAME
SKU20240528_215003_WORLDS OKAYEST FRIEND,WORLD'S,OKAYEST FRIEND
SKU20240528_215004_HONK IF YOU COMMIT ARSON,HONK IF YOU,COMMIT ARSON
SKU20240528_215005_WORLDS OKAYEST GRANDPA,WORLD'S,OKAYEST GRANDPA
SKU20240528_215006_PLEASE BE PATIENT I AM GRANDMA,PLEASE BE PATIENT,I AM GRANDMA
SKU20240528_215007_HARD WORK BEATS TALENT,HARD WORK,BEATS TALENT
SKU20240528_215008_DONT MAKE ME USE MY GRANDMA VOICE,DON'T MAKE ME USE,MY GRANDMA VOICE
SKU20240528_215009_DONT LET ANYONE MAKE YOU DISAPPEAR,DON'T LET ANYONE,MAKE YOU DISAPPEAR
SKU20240528_215010_COFFEE BECAUSE MURDER IS WRONG,COFFEE BECAUSE,MURDER IS WRONG
SKU20240528_215011_MAY WE MEET AGAIN,MAY WE,MEET AGAIN
SKU20240528_215012_WORLDS OKAYEST SINGER,WORLD'S,OKAYEST SINGER
SKU20240528_215013_SAVE A LIFE ADOPT A DOG,SAVE A LIFE,ADOPT A DOG
SKU20240528_215014_ITS A BEAUTIFUL DAY TO SAVE LIVES,IT'S A BEAUTIFUL,DAY TO SAVE LIVES
SKU20240528_215015_SAVE A LIFE ADOPT A SHELTER PET,SAVE A LIFE ADOPT,A SHELTER PET
SKU20240528_215016_SAVE A LIFE ADOPT A HOMELESS PET,SAVE A LIFE ADOPT,A HOMELESS PET
SKU20240528_215017_SAVE A LIFE ADOPT APET,SAVE A LIFE,ADOPT APET
SKU20240528_215018_LOOK TWICE SAVE A LIFE,LOOK TWICE,SAVE A LIFE
SKU20240528_215019_IM NOT PROCRASTINATING IM DOING SIDE QUESTS,I'M NOT PROCRASTINATING,I'M DOING SIDE QUESTS
SKU20240528_215020_ITS ALL WELL WITH MY SOUL,IT'S ALL WELL,WITH MY SOUL
SKU20240528_215021_DONT LET ANYONE EVER DULL YOUR SPARKLE,DON'T LET ANYONE EVER,DULL YOUR SPARKLE
SKU20240528_215022_DONT TOUCH ME HEART,DON'T TOUCH,ME HEART
SKU20240528_215023_DONT TOUCH MY PHONE,DON'T TOUCH,MY PHONE
SKU20240528_215024_DONT TOUCH YOUR FACE,DON'T TOUCH,YOUR FACE
SKU20240528_215025_DONT TOUCH MY AUNT,DON'T TOUCH,MY AUNT
SKU20240528_215026_DONT TOUCH ME KNIFE,DON'T TOUCH,ME KNIFE
SKU20240528_215027_DONT TOUCH MY APPLE,DON'T TOUCH,MY APPLE
SKU20240528_215028_DONT TOUCH MY FROGS,DON'T TOUCH,MY FROGS
SKU20240528_215029_DONT TOUCH I WANT TO SLEEP,"DON'T TOUCH, I",WANT TO SLEEP
SKU20240528_215030_DONT TOUCH MY GARBAGE,DON'T TOUCH,MY GARBAGE
SKU20240528_215031_DONT TOUCH MY MAMA,DON'T TOUCH,MY MAMA
SKU20240528_215032_DONT TOUCH IT ELSE CLAPS IT,DON'T TOUCH IT,ELSE CLAPS IT
SKU20240528_215033_DONT TOUCH MY MOTHER,DON'T TOUCH,MY MOTHER
SKU20240528_215034_DONT TOUCH MY SPOON,DON'T TOUCH,MY SPOON
SKU20240528_215035_DONT TOUCH MY WITCH,DON'T TOUCH,MY WITCH
SKU20240528_215036_DONT TOUCH MY LAPTOP,DON'T TOUCH,MY LAPTOP
SKU20240528_215037_DONT TOUCH TOO MUCH,DON'T TOUCH,TOO MUCH
SKU20240528_215038_DONT TOUCH MY TRUCK,DON'T TOUCH,MY TRUCK
SKU20240528_215040_IF ITS NOT YOURS DONT TOUCH IT,"IF IT'S NOT YOURS,",DON'T TOUCH IT
SKU20240528_215041_PLEASE DONT TOUCH ANYTHING,"PLEASE, DON'T",TOUCH ANYTHING
SKU20240528_215042_DONT TOUCH MY BROTHER,DON'T TOUCH,MY BROTHER
SKU20240528_215043_DONT TOUCH MY CRAYONS,DON'T TOUCH,MY CRAYONS
SKU20240528_215044_DONT TOUCH MY BOOK,DON'T TOUCH,MY BOOK!
SKU20240528_215045_DONT TOUCH MY GRANDMA,DON'T TOUCH,MY GRANDMA
SKU20240528_215046_WARNING DONT TOUCH MY FRIDGE,WARNING DON'T,TOUCH MY FRIDGE
SKU20240528_215047_DONT TOUCH MY NOTEBOOK,DON'T TOUCH,MY NOTEBOOK
SKU20240528_215048_DONT TOUCH MY GRANDPA,DON'T TOUCH,MY GRANDPA
SKU20240528_215049_DONT TOUCH MY BOTTLE,DON'T TOUCH,MY BOTTLE
SKU20240528_215050_CHOOSE LIFE DONT TOUCH MY CAR,CHOOSE LIFE!,DON'T TOUCH MY CAR
SKU20240528_215051_DONT TOUCH MY MAN,DON'T TOUCH,MY MAN
SKU20240528_215052_DONT TOUCH MY TROWEL,DON'T TOUCH,MY TROWEL
SKU20240528_215053_DONT TOUCH MY GIRL,DON'T TOUCH,MY GIRL
SKU20240528_215054_DONT TOUCH MY RACK,DON'T TOUCH,MY RACK
SKU20240528_215055_DONT TOUCH ME IM STERILE,DON'T TOUCH ME,I'M STERILE
SKU20240528_215056_DONT TOUCH MY DADDY,DON'T TOUCH,MY DADDY
SKU20240528_215057_WARNING DONT TOUCH MY STUFF,WARNING DON'T,TOUCH MY STUFF
SKU20240528_215058_DONT TOUCH MY GLIZZY,DON'T TOUCH,MY GLIZZY
SKU20240528_215059_DONT TOUCH MY CARIBOU,DON'T TOUCH,MY CARIBOU
SKU20240528_215100_DONT TOUCH THE BOARD,DON'T TOUCH,THE BOARD
SKU20240528_215101_WARNING DONT TOUCH MY GUITAR,WARNING DON'T,TOUCH MY GUITAR
SKU20240528_215102_DONT TOUCH ME THANKS,DON'T TOUCH,ME THANKS
SKU20240528_215103_DONT TOUCH MY COMPUTER,DON'T TOUCH,MY COMPUTER
SKU20240528_215104_DONT TOUCH MY COOLER,DON'T TOUCH,MY COOLER
SKU20240528_215105_DONT TOUCH MY HAIR BRUH,DON'T TOUCH MY,HAIR BRUH!
SKU20240528_215106_DONT TOUCH THE BIKE,DON'T TOUCH,THE BIKE
SKU20240528_215107_PLEASE DONT TOUCH MY BOTTLE,PLEASE DON'T,TOUCH MY BOTTLE
SKU20240528_215108_DONT TOUCH MY BEER,DON'T TOUCH,MY BEER
SKU20240528_215109_DONT TOUCH ME IM FAMOUS,"DON'T TOUCH ME,",I'M FAMOUS
